Usia,L,P,Unnamed: 3
00-04,76.0,80.0,156.0
05-09,107.0,114.0,221.0
10-14,68.0,72.0,140.0
15-19,95.0,100.0,195.0
20-24,99.0,106.0,205.0
25-29,95.0,101.0,196.0
30-34,102.0,108.0,210.0
35-39,99.0,105.0,204.0
40-44,95.0,100.0,195.0
45-49,104.0,111.0,215.0
50-54,109.0,116.0,225.0
55-59,99.0,106.0,205.0
>60,279.0,296.0,575.0
,,,
,,,
,,,
,,,
,,,
Total KK,1133.0,,
Total Penduduk,2621.0,,
Total Laki-Laki,1271.0,0.4849294163,
Total Perempuan,1350.0,0.5150705837,
Kepadatan Penduduk,673.3634775,,
